bin	chrom	start	end	length
246	chr1	123000001	123500000	500000
247	chr1	123500001	124000000	500000
248	chr1	124000001	124500000	500000
249	chr1	124500001	125000000	500000
250	chr1	125000001	125500000	500000
251	chr1	125500001	126000000	500000
252	chr1	126000001	126500000	500000
253	chr1	126500001	127000000	500000
254	chr1	127000001	127500000	500000
255	chr1	127500001	128000000	500000
256	chr1	128000001	128500000	500000
257	chr1	128500001	129000000	500000
258	chr1	129000001	129500000	500000
259	chr1	129500001	130000000	500000
260	chr1	130000001	130500000	500000
261	chr1	130500001	131000000	500000
262	chr1	131000001	131500000	500000
263	chr1	131500001	132000000	500000
264	chr1	132000001	132500000	500000
265	chr1	132500001	133000000	500000
266	chr1	133000001	133500000	500000
267	chr1	133500001	134000000	500000
268	chr1	134000001	134500000	500000
269	chr1	134500001	135000000	500000
270	chr1	135000001	135500000	500000
271	chr1	135500001	136000000	500000
272	chr1	136000001	136500000	500000
273	chr1	136500001	137000000	500000
274	chr1	137000001	137500000	500000
275	chr1	137500001	138000000	500000
276	chr1	138000001	138500000	500000
277	chr1	138500001	139000000	500000
278	chr1	139000001	139500000	500000
279	chr1	139500001	140000000	500000
280	chr1	140000001	140500000	500000
281	chr1	140500001	141000000	500000
282	chr1	141000001	141500000	500000
283	chr1	141500001	142000000	500000
284	chr1	142000001	142500000	500000
285	chr1	142500001	143000000	500000
286	chr1	143000001	143500000	500000
287	chr1	143500001	144000000	500000
288	chr1	144000001	144500000	500000
289	chr1	144500001	145000000	500000
290	chr1	145000001	145500000	500000
291	chr1	145500001	146000000	500000
292	chr1	146000001	146500000	500000
293	chr1	146500001	147000000	500000
294	chr1	147000001	147500000	500000
295	chr1	147500001	148000000	500000
296	chr1	148000001	148500000	500000
297	chr1	148500001	149000000	500000
298	chr1	149000001	149500000	500000
299	chr1	149500001	150000000	500000
300	chr1	150000001	150500000	500000
301	chr1	150500001	151000000	500000
302	chr1	151000001	151500000	500000
303	chr1	151500001	152000000	500000
304	chr1	152000001	152500000	500000
305	chr1	152500001	153000000	500000
306	chr1	153000001	153500000	500000
307	chr1	153500001	154000000	500000
308	chr1	154000001	154500000	500000
309	chr1	154500001	155000000	500000
310	chr1	155000001	155500000	500000
311	chr1	155500001	156000000	500000
312	chr1	156000001	156500000	500000
313	chr1	156500001	157000000	500000
314	chr1	157000001	157500000	500000
315	chr1	157500001	158000000	500000
316	chr1	158000001	158500000	500000
317	chr1	158500001	159000000	500000
318	chr1	159000001	159500000	500000
319	chr1	159500001	160000000	500000
320	chr1	160000001	160500000	500000
321	chr1	160500001	161000000	500000
322	chr1	161000001	161500000	500000
323	chr1	161500001	162000000	500000
324	chr1	162000001	162500000	500000
325	chr1	162500001	163000000	500000
326	chr1	163000001	163500000	500000
327	chr1	163500001	164000000	500000
328	chr1	164000001	164500000	500000
329	chr1	164500001	165000000	500000
330	chr1	165000001	165500000	500000
331	chr1	165500001	166000000	500000
332	chr1	166000001	166500000	500000
333	chr1	166500001	167000000	500000
334	chr1	167000001	167500000	500000
335	chr1	167500001	168000000	500000
336	chr1	168000001	168500000	500000
337	chr1	168500001	169000000	500000
338	chr1	169000001	169500000	500000
339	chr1	169500001	170000000	500000
340	chr1	170000001	170500000	500000
341	chr1	170500001	171000000	500000
342	chr1	171000001	171500000	500000
343	chr1	171500001	172000000	500000
344	chr1	172000001	172500000	500000
345	chr1	172500001	173000000	500000
346	chr1	173000001	173500000	500000
347	chr1	173500001	174000000	500000
348	chr1	174000001	174500000	500000
349	chr1	174500001	175000000	500000
350	chr1	175000001	175500000	500000
351	chr1	175500001	176000000	500000
352	chr1	176000001	176500000	500000
353	chr1	176500001	177000000	500000
354	chr1	177000001	177500000	500000
355	chr1	177500001	178000000	500000
356	chr1	178000001	178500000	500000
357	chr1	178500001	179000000	500000
358	chr1	179000001	179500000	500000
359	chr1	179500001	180000000	500000
360	chr1	180000001	180500000	500000
361	chr1	180500001	181000000	500000
362	chr1	181000001	181500000	500000
363	chr1	181500001	182000000	500000
364	chr1	182000001	182500000	500000
365	chr1	182500001	183000000	500000
366	chr1	183000001	183500000	500000
367	chr1	183500001	184000000	500000
368	chr1	184000001	184500000	500000
369	chr1	184500001	185000000	500000
370	chr1	185000001	185500000	500000
371	chr1	185500001	186000000	500000
372	chr1	186000001	186500000	500000
373	chr1	186500001	187000000	500000
374	chr1	187000001	187500000	500000
375	chr1	187500001	188000000	500000
376	chr1	188000001	188500000	500000
377	chr1	188500001	189000000	500000
378	chr1	189000001	189500000	500000
379	chr1	189500001	190000000	500000
380	chr1	190000001	190500000	500000
381	chr1	190500001	191000000	500000
382	chr1	191000001	191500000	500000
383	chr1	191500001	192000000	500000
384	chr1	192000001	192500000	500000
385	chr1	192500001	193000000	500000
386	chr1	193000001	193500000	500000
387	chr1	193500001	194000000	500000
388	chr1	194000001	194500000	500000
389	chr1	194500001	195000000	500000
390	chr1	195000001	195500000	500000
391	chr1	195500001	196000000	500000
392	chr1	196000001	196500000	500000
393	chr1	196500001	197000000	500000
394	chr1	197000001	197500000	500000
395	chr1	197500001	198000000	500000
396	chr1	198000001	198500000	500000
397	chr1	198500001	199000000	500000
398	chr1	199000001	199500000	500000
399	chr1	199500001	200000000	500000
400	chr1	200000001	200500000	500000
401	chr1	200500001	201000000	500000
402	chr1	201000001	201500000	500000
403	chr1	201500001	202000000	500000
404	chr1	202000001	202500000	500000
405	chr1	202500001	203000000	500000
406	chr1	203000001	203500000	500000
407	chr1	203500001	204000000	500000
408	chr1	204000001	204500000	500000
409	chr1	204500001	205000000	500000
410	chr1	205000001	205500000	500000
411	chr1	205500001	206000000	500000
412	chr1	206000001	206500000	500000
413	chr1	206500001	207000000	500000
414	chr1	207000001	207500000	500000
415	chr1	207500001	208000000	500000
416	chr1	208000001	208500000	500000
417	chr1	208500001	209000000	500000
418	chr1	209000001	209500000	500000
419	chr1	209500001	210000000	500000
420	chr1	210000001	210500000	500000
421	chr1	210500001	211000000	500000
422	chr1	211000001	211500000	500000
423	chr1	211500001	212000000	500000
424	chr1	212000001	212500000	500000
425	chr1	212500001	213000000	500000
426	chr1	213000001	213500000	500000
427	chr1	213500001	214000000	500000
428	chr1	214000001	214500000	500000
429	chr1	214500001	215000000	500000
430	chr1	215000001	215500000	500000
431	chr1	215500001	216000000	500000
432	chr1	216000001	216500000	500000
433	chr1	216500001	217000000	500000
434	chr1	217000001	217500000	500000
435	chr1	217500001	218000000	500000
436	chr1	218000001	218500000	500000
437	chr1	218500001	219000000	500000
438	chr1	219000001	219500000	500000
439	chr1	219500001	220000000	500000
440	chr1	220000001	220500000	500000
441	chr1	220500001	221000000	500000
442	chr1	221000001	221500000	500000
443	chr1	221500001	222000000	500000
444	chr1	222000001	222500000	500000
445	chr1	222500001	223000000	500000
446	chr1	223000001	223500000	500000
447	chr1	223500001	224000000	500000
448	chr1	224000001	224500000	500000
449	chr1	224500001	225000000	500000
450	chr1	225000001	225500000	500000
451	chr1	225500001	226000000	500000
452	chr1	226000001	226500000	500000
453	chr1	226500001	227000000	500000
454	chr1	227000001	227500000	500000
455	chr1	227500001	228000000	500000
456	chr1	228000001	228500000	500000
457	chr1	228500001	229000000	500000
458	chr1	229000001	229500000	500000
459	chr1	229500001	230000000	500000
460	chr1	230000001	230500000	500000
461	chr1	230500001	231000000	500000
462	chr1	231000001	231500000	500000
463	chr1	231500001	232000000	500000
464	chr1	232000001	232500000	500000
465	chr1	232500001	233000000	500000
466	chr1	233000001	233500000	500000
467	chr1	233500001	234000000	500000
468	chr1	234000001	234500000	500000
469	chr1	234500001	235000000	500000
470	chr1	235000001	235500000	500000
471	chr1	235500001	236000000	500000
472	chr1	236000001	236500000	500000
473	chr1	236500001	237000000	500000
474	chr1	237000001	237500000	500000
475	chr1	237500001	238000000	500000
476	chr1	238000001	238500000	500000
477	chr1	238500001	239000000	500000
478	chr1	239000001	239500000	500000
479	chr1	239500001	240000000	500000
480	chr1	240000001	240500000	500000
481	chr1	240500001	241000000	500000
482	chr1	241000001	241500000	500000
483	chr1	241500001	242000000	500000
484	chr1	242000001	242500000	500000
485	chr1	242500001	243000000	500000
486	chr1	243000001	243500000	500000
487	chr1	243500001	244000000	500000
488	chr1	244000001	244500000	500000
489	chr1	244500001	245000000	500000
490	chr1	245000001	245500000	500000
491	chr1	245500001	246000000	500000
492	chr1	246000001	246500000	500000
493	chr1	246500001	247000000	500000
494	chr1	247000001	247500000	500000
495	chr1	247500001	248000000	500000
496	chr1	248000001	248500000	500000
497	chr1	248500001	248956422	456422
