cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell6	6	7	3	81	83	1	0	1	True
cell6	6	7	4	84	86	0	0	0	False
cell6	6	7	5	87	89	1	0	1	True
cell6	6	7	6	90	243	1	1	2	False
cell6	6	7	7	244	497	1	1	2	False
cell7	7	3	0	0	46	1	2	3	False
cell7	7	3	1	47	74	1	2	3	False
cell7	7	3	2	75	80	1	2	3	False
cell7	7	3	3	81	83	1	2	3	False
cell7	7	3	4	84	86	1	2	3	False
cell7	7	3	5	87	89	1	2	3	False
cell7	7	3	6	90	243	1	2	3	False
cell7	7	3	7	244	497	1	1	2	False
cell8	8	3	0	0	46	1	2	3	False
cell8	8	3	1	47	74	1	2	3	False
cell8	8	3	2	75	80	1	2	3	False
cell8	8	3	3	81	83	1	2	3	False
cell8	8	3	4	84	86	1	2	3	False
cell8	8	3	5	87	89	1	2	3	False
cell8	8	3	6	90	243	1	2	3	False
cell8	8	3	7	244	497	1	1	2	False
cell9	9	4	0	0	46	1	2	3	False
cell9	9	4	1	47	74	1	2	3	False
cell9	9	4	2	75	80	1	2	3	False
cell9	9	4	3	81	83	1	2	3	False
cell9	9	4	4	84	86	1	2	3	False
cell9	9	4	5	87	89	1	2	3	False
cell9	9	4	6	90	243	1	2	3	False
cell9	9	4	7	244	497	1	1	2	False
cell10	10	3	0	0	46	1	2	3	False
cell10	10	3	1	47	74	1	2	3	False
cell10	10	3	2	75	80	1	2	3	False
cell10	10	3	3	81	83	1	2	3	False
cell10	10	3	4	84	86	1	2	3	False
cell10	10	3	5	87	89	1	2	3	False
cell10	10	3	6	90	243	1	2	3	False
cell10	10	3	7	244	497	1	1	2	False
cell11	11	5	0	0	46	1	1	2	False
cell11	11	5	1	47	74	2	1	3	False
cell11	11	5	2	75	80	2	0	2	True
cell11	11	5	3	81	83	1	0	1	True
cell11	11	5	4	84	86	1	0	1	True
cell11	11	5	5	87	89	1	0	1	True
cell11	11	5	6	90	243	1	1	2	False
cell11	11	5	7	244	497	1	1	2	False
cell12	12	3	0	0	46	1	2	3	False
cell12	12	3	1	47	74	1	2	3	False
cell12	12	3	2	75	80	1	2	3	False
cell12	12	3	3	81	83	1	2	3	False
cell12	12	3	4	84	86	1	2	3	False
cell12	12	3	5	87	89	1	2	3	False
cell12	12	3	6	90	243	1	2	3	False
cell12	12	3	7	244	497	1	1	2	False
cell13	13	0	0	0	46	1	1	2	False
cell13	13	0	1	47	74	1	1	2	False
cell13	13	0	2	75	80	1	1	2	False
cell13	13	0	3	81	83	1	1	2	False
cell13	13	0	4	84	86	1	1	2	False
cell13	13	0	5	87	89	1	1	2	False
cell13	13	0	6	90	243	1	1	2	False
cell13	13	0	7	244	497	1	1	2	False
cell14	14	3	0	0	46	1	2	3	False
cell14	14	3	1	47	74	1	2	3	False
cell14	14	3	2	75	80	1	2	3	False
cell14	14	3	3	81	83	1	2	3	False
cell14	14	3	4	84	86	1	2	3	False
cell14	14	3	5	87	89	1	2	3	False
cell14	14	3	6	90	243	1	2	3	False
cell14	14	3	7	244	497	1	1	2	False
cell15	15	0	0	0	46	1	1	2	False
cell15	15	0	1	47	74	1	1	2	False
cell15	15	0	2	75	80	1	1	2	False
cell15	15	0	3	81	83	1	1	2	False
cell15	15	0	4	84	86	1	1	2	False
cell15	15	0	5	87	89	1	1	2	False
cell15	15	0	6	90	243	1	1	2	False
cell15	15	0	7	244	497	1	1	2	False
cell16	16	3	0	0	46	1	2	3	False
cell16	16	3	1	47	74	1	2	3	False
cell16	16	3	2	75	80	1	2	3	False
cell16	16	3	3	81	83	1	2	3	False
cell16	16	3	4	84	86	1	2	3	False
cell16	16	3	5	87	89	1	2	3	False
cell16	16	3	6	90	243	1	2	3	False
cell16	16	3	7	244	497	1	1	2	False
cell17	17	3	0	0	46	1	2	3	False
cell17	17	3	1	47	74	1	2	3	False
cell17	17	3	2	75	80	1	2	3	False
cell17	17	3	3	81	83	1	2	3	False
cell17	17	3	4	84	86	1	2	3	False
cell17	17	3	5	87	89	1	2	3	False
cell17	17	3	6	90	243	1	2	3	False
cell17	17	3	7	244	497	1	1	2	False
cell18	18	3	0	0	46	1	2	3	False
cell18	18	3	1	47	74	1	2	3	False
cell18	18	3	2	75	80	1	2	3	False
cell18	18	3	3	81	83	1	2	3	False
cell18	18	3	4	84	86	1	2	3	False
cell18	18	3	5	87	89	1	2	3	False
cell18	18	3	6	90	243	1	2	3	False
cell18	18	3	7	244	497	1	1	2	False
cell19	19	3	0	0	46	1	2	3	False
cell19	19	3	1	47	74	1	2	3	False
cell19	19	3	2	75	80	1	2	3	False
cell19	19	3	3	81	83	1	2	3	False
cell19	19	3	4	84	86	1	2	3	False
cell19	19	3	5	87	89	1	2	3	False
cell19	19	3	6	90	243	1	2	3	False
cell19	19	3	7	244	497	1	1	2	False
cell20	20	0	0	0	46	1	1	2	False
cell20	20	0	1	47	74	1	1	2	False
cell20	20	0	2	75	80	1	1	2	False
cell20	20	0	3	81	83	1	1	2	False
cell20	20	0	4	84	86	1	1	2	False
cell20	20	0	5	87	89	1	1	2	False
cell20	20	0	6	90	243	1	1	2	False
cell20	20	0	7	244	497	1	1	2	False
cell21	21	4	0	0	46	1	2	3	False
cell21	21	4	1	47	74	1	2	3	False
cell21	21	4	2	75	80	1	2	3	False
cell21	21	4	3	81	83	1	2	3	False
cell21	21	4	4	84	86	1	2	3	False
cell21	21	4	5	87	89	1	2	3	False
cell21	21	4	6	90	243	1	2	3	False
cell21	21	4	7	244	497	1	1	2	False
cell22	22	3	0	0	46	1	2	3	False
cell22	22	3	1	47	74	1	2	3	False
cell22	22	3	2	75	80	1	2	3	False
cell22	22	3	3	81	83	1	2	3	False
cell22	22	3	4	84	86	1	2	3	False
cell22	22	3	5	87	89	1	2	3	False
cell22	22	3	6	90	243	1	2	3	False
cell22	22	3	7	244	497	1	1	2	False
cell23	23	5	0	0	46	1	1	2	False
cell23	23	5	1	47	74	2	1	3	False
cell23	23	5	2	75	80	2	0	2	True
cell23	23	5	3	81	83	1	0	1	True
cell23	23	5	4	84	86	1	0	1	True
cell23	23	5	5	87	89	1	0	1	True
cell23	23	5	6	90	243	1	1	2	False
cell23	23	5	7	244	497	1	1	2	False
cell24	24	5	0	0	46	1	1	2	False
cell24	24	5	1	47	74	2	1	3	False
cell24	24	5	2	75	80	2	0	2	True
cell24	24	5	3	81	83	1	0	1	True
cell24	24	5	4	84	86	1	0	1	True
cell24	24	5	5	87	89	1	0	1	True
cell24	24	5	6	90	243	1	1	2	False
cell24	24	5	7	244	497	1	1	2	False
cell25	25	0	0	0	46	1	1	2	False
cell25	25	0	1	47	74	1	1	2	False
cell25	25	0	2	75	80	1	1	2	False
cell25	25	0	3	81	83	1	1	2	False
cell25	25	0	4	84	86	1	1	2	False
cell25	25	0	5	87	89	1	1	2	False
cell25	25	0	6	90	243	1	1	2	False
cell25	25	0	7	244	497	1	1	2	False
cell26	26	3	0	0	46	1	2	3	False
cell26	26	3	1	47	74	1	2	3	False
cell26	26	3	2	75	80	1	2	3	False
cell26	26	3	3	81	83	1	2	3	False
cell26	26	3	4	84	86	1	2	3	False
cell26	26	3	5	87	89	1	2	3	False
cell26	26	3	6	90	243	1	2	3	False
cell26	26	3	7	244	497	1	1	2	False
cell27	27	3	0	0	46	1	2	3	False
cell27	27	3	1	47	74	1	2	3	False
cell27	27	3	2	75	80	1	2	3	False
cell27	27	3	3	81	83	1	2	3	False
cell27	27	3	4	84	86	1	2	3	False
cell27	27	3	5	87	89	1	2	3	False
cell27	27	3	6	90	243	1	2	3	False
cell27	27	3	7	244	497	1	1	2	False
cell28	28	3	0	0	46	1	2	3	False
cell28	28	3	1	47	74	1	2	3	False
cell28	28	3	2	75	80	1	2	3	False
cell28	28	3	3	81	83	1	2	3	False
cell28	28	3	4	84	86	1	2	3	False
cell28	28	3	5	87	89	1	2	3	False
cell28	28	3	6	90	243	1	2	3	False
cell28	28	3	7	244	497	1	1	2	False
cell29	29	3	0	0	46	1	2	3	False
cell29	29	3	1	47	74	1	2	3	False
cell29	29	3	2	75	80	1	2	3	False
cell29	29	3	3	81	83	1	2	3	False
cell29	29	3	4	84	86	1	2	3	False
cell29	29	3	5	87	89	1	2	3	False
cell29	29	3	6	90	243	1	2	3	False
cell29	29	3	7	244	497	1	1	2	False
cell30	30	8	0	0	46	1	1	2	False
cell30	30	8	1	47	74	2	1	3	False
cell30	30	8	2	75	80	2	0	2	True
cell30	30	8	3	81	83	1	0	1	True
cell30	30	8	4	84	86	0	0	0	False
cell30	30	8	5	87	89	1	0	1	True
cell30	30	8	6	90	243	1	1	2	False
cell30	30	8	7	244	497	1	1	2	False
cell31	31	8	0	0	46	1	1	2	False
cell31	31	8	1	47	74	2	1	3	False
cell31	31	8	2	75	80	2	0	2	True
cell31	31	8	3	81	83	1	0	1	True
cell31	31	8	4	84	86	0	0	0	False
cell31	31	8	5	87	89	1	0	1	True
cell31	31	8	6	90	243	1	1	2	False
cell31	31	8	7	244	497	1	1	2	False
cell32	32	4	0	0	46	1	2	3	False
cell32	32	4	1	47	74	1	2	3	False
cell32	32	4	2	75	80	1	2	3	False
cell32	32	4	3	81	83	1	2	3	False
cell32	32	4	4	84	86	1	2	3	False
cell32	32	4	5	87	89	1	2	3	False
cell32	32	4	6	90	243	1	2	3	False
cell32	32	4	7	244	497	1	1	2	False
cell33	33	0	0	0	46	1	1	2	False
cell33	33	0	1	47	74	1	1	2	False
cell33	33	0	2	75	80	1	1	2	False
cell33	33	0	3	81	83	1	1	2	False
cell33	33	0	4	84	86	1	1	2	False
cell33	33	0	5	87	89	1	1	2	False
cell33	33	0	6	90	243	1	1	2	False
cell33	33	0	7	244	497	1	1	2	False
cell34	34	3	0	0	46	1	2	3	False
cell34	34	3	1	47	74	1	2	3	False
cell34	34	3	2	75	80	1	2	3	False
cell34	34	3	3	81	83	1	2	3	False
cell34	34	3	4	84	86	1	2	3	False
cell34	34	3	5	87	89	1	2	3	False
cell34	34	3	6	90	243	1	2	3	False
cell34	34	3	7	244	497	1	1	2	False
cell35	35	3	0	0	46	1	2	3	False
cell35	35	3	1	47	74	1	2	3	False
cell35	35	3	2	75	80	1	2	3	False
cell35	35	3	3	81	83	1	2	3	False
cell35	35	3	4	84	86	1	2	3	False
cell35	35	3	5	87	89	1	2	3	False
cell35	35	3	6	90	243	1	2	3	False
cell35	35	3	7	244	497	1	1	2	False
cell36	36	3	0	0	46	1	2	3	False
cell36	36	3	1	47	74	1	2	3	False
cell36	36	3	2	75	80	1	2	3	False
cell36	36	3	3	81	83	1	2	3	False
cell36	36	3	4	84	86	1	2	3	False
cell36	36	3	5	87	89	1	2	3	False
cell36	36	3	6	90	243	1	2	3	False
cell36	36	3	7	244	497	1	1	2	False
cell37	37	0	0	0	46	1	1	2	False
cell37	37	0	1	47	74	1	1	2	False
cell37	37	0	2	75	80	1	1	2	False
cell37	37	0	3	81	83	1	1	2	False
cell37	37	0	4	84	86	1	1	2	False
cell37	37	0	5	87	89	1	1	2	False
cell37	37	0	6	90	243	1	1	2	False
cell37	37	0	7	244	497	1	1	2	False
cell38	38	3	0	0	46	1	2	3	False
cell38	38	3	1	47	74	1	2	3	False
cell38	38	3	2	75	80	1	2	3	False
cell38	38	3	3	81	83	1	2	3	False
cell38	38	3	4	84	86	1	2	3	False
cell38	38	3	5	87	89	1	2	3	False
cell38	38	3	6	90	243	1	2	3	False
cell38	38	3	7	244	497	1	1	2	False
cell39	39	3	0	0	46	1	2	3	False
cell39	39	3	1	47	74	1	2	3	False
cell39	39	3	2	75	80	1	2	3	False
cell39	39	3	3	81	83	1	2	3	False
cell39	39	3	4	84	86	1	2	3	False
cell39	39	3	5	87	89	1	2	3	False
cell39	39	3	6	90	243	1	2	3	False
cell39	39	3	7	244	497	1	1	2	False
cell40	40	3	0	0	46	1	2	3	False
cell40	40	3	1	47	74	1	2	3	False
cell40	40	3	2	75	80	1	2	3	False
cell40	40	3	3	81	83	1	2	3	False
cell40	40	3	4	84	86	1	2	3	False
cell40	40	3	5	87	89	1	2	3	False
cell40	40	3	6	90	243	1	2	3	False
cell40	40	3	7	244	497	1	1	2	False
cell41	41	3	0	0	46	1	2	3	False
cell41	41	3	1	47	74	1	2	3	False
cell41	41	3	2	75	80	1	2	3	False
cell41	41	3	3	81	83	1	2	3	False
cell41	41	3	4	84	86	1	2	3	False
cell41	41	3	5	87	89	1	2	3	False
cell41	41	3	6	90	243	1	2	3	False
cell41	41	3	7	244	497	1	1	2	False
cell42	42	0	0	0	46	1	1	2	False
cell42	42	0	1	47	74	1	1	2	False
cell42	42	0	2	75	80	1	1	2	False
cell42	42	0	3	81	83	1	1	2	False
cell42	42	0	4	84	86	1	1	2	False
cell42	42	0	5	87	89	1	1	2	False
cell42	42	0	6	90	243	1	1	2	False
cell42	42	0	7	244	497	1	1	2	False
cell43	43	5	0	0	46	1	1	2	False
cell43	43	5	1	47	74	2	1	3	False
cell43	43	5	2	75	80	2	0	2	True
cell43	43	5	3	81	83	1	0	1	True
cell43	43	5	4	84	86	1	0	1	True
cell43	43	5	5	87	89	1	0	1	True
cell43	43	5	6	90	243	1	1	2	False
cell43	43	5	7	244	497	1	1	2	False
cell44	44	8	0	0	46	1	1	2	False
cell44	44	8	1	47	74	2	1	3	False
cell44	44	8	2	75	80	2	0	2	True
cell44	44	8	3	81	83	1	0	1	True
cell44	44	8	4	84	86	0	0	0	False
cell44	44	8	5	87	89	1	0	1	True
cell44	44	8	6	90	243	1	1	2	False
cell44	44	8	7	244	497	1	1	2	False
cell45	45	3	0	0	46	1	2	3	False
cell45	45	3	1	47	74	1	2	3	False
cell45	45	3	2	75	80	1	2	3	False
cell45	45	3	3	81	83	1	2	3	False
cell45	45	3	4	84	86	1	2	3	False
cell45	45	3	5	87	89	1	2	3	False
cell45	45	3	6	90	243	1	2	3	False
cell45	45	3	7	244	497	1	1	2	False
cell46	46	5	0	0	46	1	1	2	False
cell46	46	5	1	47	74	2	1	3	False
cell46	46	5	2	75	80	2	0	2	True
cell46	46	5	3	81	83	1	0	1	True
cell46	46	5	4	84	86	1	0	1	True
cell46	46	5	5	87	89	1	0	1	True
cell46	46	5	6	90	243	1	1	2	False
cell46	46	5	7	244	497	1	1	2	False
cell47	47	8	0	0	46	1	1	2	False
cell47	47	8	1	47	74	2	1	3	False
cell47	47	8	2	75	80	2	0	2	True
cell47	47	8	3	81	83	1	0	1	True
cell47	47	8	4	84	86	0	0	0	False
cell47	47	8	5	87	89	1	0	1	True
cell47	47	8	6	90	243	1	1	2	False
cell47	47	8	7	244	497	1	1	2	False
cell48	48	3	0	0	46	1	2	3	False
cell48	48	3	1	47	74	1	2	3	False
cell48	48	3	2	75	80	1	2	3	False
cell48	48	3	3	81	83	1	2	3	False
cell48	48	3	4	84	86	1	2	3	False
cell48	48	3	5	87	89	1	2	3	False
cell48	48	3	6	90	243	1	2	3	False
cell48	48	3	7	244	497	1	1	2	False
cell49	49	3	0	0	46	1	2	3	False
cell49	49	3	1	47	74	1	2	3	False
cell49	49	3	2	75	80	1	2	3	False
cell49	49	3	3	81	83	1	2	3	False
cell49	49	3	4	84	86	1	2	3	False
cell49	49	3	5	87	89	1	2	3	False
cell49	49	3	6	90	243	1	2	3	False
cell49	49	3	7	244	497	1	1	2	False
cell50	50	3	0	0	46	1	2	3	False
cell50	50	3	1	47	74	1	2	3	False
cell50	50	3	2	75	80	1	2	3	False
cell50	50	3	3	81	83	1	2	3	False
cell50	50	3	4	84	86	1	2	3	False
cell50	50	3	5	87	89	1	2	3	False
cell50	50	3	6	90	243	1	2	3	False
cell50	50	3	7	244	497	1	1	2	False
cell51	51	3	0	0	46	1	2	3	False
cell51	51	3	1	47	74	1	2	3	False
cell51	51	3	2	75	80	1	2	3	False
cell51	51	3	3	81	83	1	2	3	False
cell51	51	3	4	84	86	1	2	3	False
cell51	51	3	5	87	89	1	2	3	False
cell51	51	3	6	90	243	1	2	3	False
cell51	51	3	7	244	497	1	1	2	False
cell52	52	0	0	0	46	1	1	2	False
cell52	52	0	1	47	74	1	1	2	False
cell52	52	0	2	75	80	1	1	2	False
cell52	52	0	3	81	83	1	1	2	False
cell52	52	0	4	84	86	1	1	2	False
cell52	52	0	5	87	89	1	1	2	False
cell52	52	0	6	90	243	1	1	2	False
cell52	52	0	7	244	497	1	1	2	False
cell53	53	0	0	0	46	1	1	2	False
cell53	53	0	1	47	74	1	1	2	False
cell53	53	0	2	75	80	1	1	2	False
cell53	53	0	3	81	83	1	1	2	False
cell53	53	0	4	84	86	1	1	2	False
cell53	53	0	5	87	89	1	1	2	False
cell53	53	0	6	90	243	1	1	2	False
cell53	53	0	7	244	497	1	1	2	False
cell54	54	3	0	0	46	1	2	3	False
cell54	54	3	1	47	74	1	2	3	False
cell54	54	3	2	75	80	1	2	3	False
cell54	54	3	3	81	83	1	2	3	False
cell54	54	3	4	84	86	1	2	3	False
cell54	54	3	5	87	89	1	2	3	False
cell54	54	3	6	90	243	1	2	3	False
cell54	54	3	7	244	497	1	1	2	False
cell55	55	3	0	0	46	1	2	3	False
cell55	55	3	1	47	74	1	2	3	False
cell55	55	3	2	75	80	1	2	3	False
cell55	55	3	3	81	83	1	2	3	False
cell55	55	3	4	84	86	1	2	3	False
cell55	55	3	5	87	89	1	2	3	False
cell55	55	3	6	90	243	1	2	3	False
cell55	55	3	7	244	497	1	1	2	False
cell56	56	3	0	0	46	1	2	3	False
cell56	56	3	1	47	74	1	2	3	False
cell56	56	3	2	75	80	1	2	3	False
cell56	56	3	3	81	83	1	2	3	False
cell56	56	3	4	84	86	1	2	3	False
cell56	56	3	5	87	89	1	2	3	False
cell56	56	3	6	90	243	1	2	3	False
cell56	56	3	7	244	497	1	1	2	False
cell57	57	7	0	0	46	1	1	2	False
cell57	57	7	1	47	74	2	1	3	False
cell57	57	7	2	75	80	2	0	2	True
cell57	57	7	3	81	83	1	0	1	True
cell57	57	7	4	84	86	0	0	0	False
cell57	57	7	5	87	89	1	0	1	True
cell57	57	7	6	90	243	1	1	2	False
cell57	57	7	7	244	497	1	1	2	False
cell58	58	3	0	0	46	1	2	3	False
cell58	58	3	1	47	74	1	2	3	False
cell58	58	3	2	75	80	1	2	3	False
cell58	58	3	3	81	83	1	2	3	False
cell58	58	3	4	84	86	1	2	3	False
cell58	58	3	5	87	89	1	2	3	False
cell58	58	3	6	90	243	1	2	3	False
cell58	58	3	7	244	497	1	1	2	False
cell59	59	3	0	0	46	1	2	3	False
cell59	59	3	1	47	74	1	2	3	False
cell59	59	3	2	75	80	1	2	3	False
cell59	59	3	3	81	83	1	2	3	False
cell59	59	3	4	84	86	1	2	3	False
cell59	59	3	5	87	89	1	2	3	False
cell59	59	3	6	90	243	1	2	3	False
cell59	59	3	7	244	497	1	1	2	False
cell60	60	3	0	0	46	1	2	3	False
cell60	60	3	1	47	74	1	2	3	False
cell60	60	3	2	75	80	1	2	3	False
cell60	60	3	3	81	83	1	2	3	False
cell60	60	3	4	84	86	1	2	3	False
cell60	60	3	5	87	89	1	2	3	False
cell60	60	3	6	90	243	1	2	3	False
cell60	60	3	7	244	497	1	1	2	False
cell61	61	3	0	0	46	1	2	3	False
cell61	61	3	1	47	74	1	2	3	False
cell61	61	3	2	75	80	1	2	3	False
cell61	61	3	3	81	83	1	2	3	False
cell61	61	3	4	84	86	1	2	3	False
cell61	61	3	5	87	89	1	2	3	False
cell61	61	3	6	90	243	1	2	3	False
cell61	61	3	7	244	497	1	1	2	False
cell62	62	0	0	0	46	1	1	2	False
cell62	62	0	1	47	74	1	1	2	False
cell62	62	0	2	75	80	1	1	2	False
cell62	62	0	3	81	83	1	1	2	False
cell62	62	0	4	84	86	1	1	2	False
cell62	62	0	5	87	89	1	1	2	False
cell62	62	0	6	90	243	1	1	2	False
cell62	62	0	7	244	497	1	1	2	False
cell63	63	3	0	0	46	1	2	3	False
cell63	63	3	1	47	74	1	2	3	False
cell63	63	3	2	75	80	1	2	3	False
cell63	63	3	3	81	83	1	2	3	False
cell63	63	3	4	84	86	1	2	3	False
cell63	63	3	5	87	89	1	2	3	False
cell63	63	3	6	90	243	1	2	3	False
cell63	63	3	7	244	497	1	1	2	False
cell64	64	3	0	0	46	1	2	3	False
cell64	64	3	1	47	74	1	2	3	False
cell64	64	3	2	75	80	1	2	3	False
cell64	64	3	3	81	83	1	2	3	False
cell64	64	3	4	84	86	1	2	3	False
cell64	64	3	5	87	89	1	2	3	False
cell64	64	3	6	90	243	1	2	3	False
cell64	64	3	7	244	497	1	1	2	False
cell65	65	3	0	0	46	1	2	3	False
cell65	65	3	1	47	74	1	2	3	False
cell65	65	3	2	75	80	1	2	3	False
cell65	65	3	3	81	83	1	2	3	False
cell65	65	3	4	84	86	1	2	3	False
cell65	65	3	5	87	89	1	2	3	False
cell65	65	3	6	90	243	1	2	3	False
cell65	65	3	7	244	497	1	1	2	False
cell66	66	5	0	0	46	1	1	2	False
cell66	66	5	1	47	74	2	1	3	False
cell66	66	5	2	75	80	2	0	2	True
cell66	66	5	3	81	83	1	0	1	True
cell66	66	5	4	84	86	1	0	1	True
cell66	66	5	5	87	89	1	0	1	True
cell66	66	5	6	90	243	1	1	2	False
cell66	66	5	7	244	497	1	1	2	False
cell67	67	0	0	0	46	1	1	2	False
cell67	67	0	1	47	74	1	1	2	False
cell67	67	0	2	75	80	1	1	2	False
cell67	67	0	3	81	83	1	1	2	False
cell67	67	0	4	84	86	1	1	2	False
cell67	67	0	5	87	89	1	1	2	False
cell67	67	0	6	90	243	1	1	2	False
cell67	67	0	7	244	497	1	1	2	False
cell68	68	3	0	0	46	1	2	3	False
cell68	68	3	1	47	74	1	2	3	False
cell68	68	3	2	75	80	1	2	3	False
cell68	68	3	3	81	83	1	2	3	False
cell68	68	3	4	84	86	1	2	3	False
cell68	68	3	5	87	89	1	2	3	False
cell68	68	3	6	90	243	1	2	3	False
cell68	68	3	7	244	497	1	1	2	False
cell69	69	3	0	0	46	1	2	3	False
cell69	69	3	1	47	74	1	2	3	False
cell69	69	3	2	75	80	1	2	3	False
cell69	69	3	3	81	83	1	2	3	False
cell69	69	3	4	84	86	1	2	3	False
cell69	69	3	5	87	89	1	2	3	False
cell69	69	3	6	90	243	1	2	3	False
cell69	69	3	7	244	497	1	1	2	False
cell70	70	0	0	0	46	1	1	2	False
cell70	70	0	1	47	74	1	1	2	False
cell70	70	0	2	75	80	1	1	2	False
cell70	70	0	3	81	83	1	1	2	False
cell70	70	0	4	84	86	1	1	2	False
cell70	70	0	5	87	89	1	1	2	False
cell70	70	0	6	90	243	1	1	2	False
cell70	70	0	7	244	497	1	1	2	False
cell71	71	3	0	0	46	1	2	3	False
cell71	71	3	1	47	74	1	2	3	False
cell71	71	3	2	75	80	1	2	3	False
cell71	71	3	3	81	83	1	2	3	False
cell71	71	3	4	84	86	1	2	3	False
cell71	71	3	5	87	89	1	2	3	False
cell71	71	3	6	90	243	1	2	3	False
cell71	71	3	7	244	497	1	1	2	False
cell72	72	3	0	0	46	1	2	3	False
cell72	72	3	1	47	74	1	2	3	False
cell72	72	3	2	75	80	1	2	3	False
cell72	72	3	3	81	83	1	2	3	False
cell72	72	3	4	84	86	1	2	3	False
cell72	72	3	5	87	89	1	2	3	False
cell72	72	3	6	90	243	1	2	3	False
cell72	72	3	7	244	497	1	1	2	False
cell73	73	3	0	0	46	1	2	3	False
cell73	73	3	1	47	74	1	2	3	False
cell73	73	3	2	75	80	1	2	3	False
cell73	73	3	3	81	83	1	2	3	False
cell73	73	3	4	84	86	1	2	3	False
cell73	73	3	5	87	89	1	2	3	False
cell73	73	3	6	90	243	1	2	3	False
cell73	73	3	7	244	497	1	1	2	False
cell74	74	3	0	0	46	1	2	3	False
cell74	74	3	1	47	74	1	2	3	False
cell74	74	3	2	75	80	1	2	3	False
cell74	74	3	3	81	83	1	2	3	False
cell74	74	3	4	84	86	1	2	3	False
cell74	74	3	5	87	89	1	2	3	False
cell74	74	3	6	90	243	1	2	3	False
cell74	74	3	7	244	497	1	1	2	False
cell75	75	5	0	0	46	1	1	2	False
cell75	75	5	1	47	74	2	1	3	False
cell75	75	5	2	75	80	2	0	2	True
cell75	75	5	3	81	83	1	0	1	True
cell75	75	5	4	84	86	1	0	1	True
cell75	75	5	5	87	89	1	0	1	True
cell75	75	5	6	90	243	1	1	2	False
cell75	75	5	7	244	497	1	1	2	False
cell76	76	3	0	0	46	1	2	3	False
cell76	76	3	1	47	74	1	2	3	False
cell76	76	3	2	75	80	1	2	3	False
cell76	76	3	3	81	83	1	2	3	False
cell76	76	3	4	84	86	1	2	3	False
cell76	76	3	5	87	89	1	2	3	False
cell76	76	3	6	90	243	1	2	3	False
cell76	76	3	7	244	497	1	1	2	False
cell77	77	4	0	0	46	1	2	3	False
cell77	77	4	1	47	74	1	2	3	False
cell77	77	4	2	75	80	1	2	3	False
cell77	77	4	3	81	83	1	2	3	False
cell77	77	4	4	84	86	1	2	3	False
cell77	77	4	5	87	89	1	2	3	False
cell77	77	4	6	90	243	1	2	3	False
cell77	77	4	7	244	497	1	1	2	False
cell78	78	0	0	0	46	1	1	2	False
cell78	78	0	1	47	74	1	1	2	False
cell78	78	0	2	75	80	1	1	2	False
cell78	78	0	3	81	83	1	1	2	False
cell78	78	0	4	84	86	1	1	2	False
cell78	78	0	5	87	89	1	1	2	False
cell78	78	0	6	90	243	1	1	2	False
cell78	78	0	7	244	497	1	1	2	False
