cell	cell_index	clone_assignment	clone	library_size	allelic_coverage	is_doublet	doublet_clones
cell78	78	0	clone0	160.94706364973095	0.20511940609559184	False	
cell79	79	3	clone3	99.51663098671014	0.2052111262617064	False	
cell80	80	7	clone7	127.81382608068398	0.20738782317178675	False	
cell81	81	3	clone3	82.72384837803565	0.1486782470275908	False	
cell82	82	5	clone5	67.64198001594399	0.18344592604463983	False	
cell83	83	3	clone3	72.15101082470261	0.18317719186994638	False	
cell84	84	3	clone3	77.41524301239467	0.21438592240861826	False	
cell85	85	3	clone3	178.91587434747015	0.25691294792611297	False	
cell86	86	3	clone3	75.26044912835994	0.14039842376673353	False	
cell87	87	3	clone3	122.51439661640362	0.18466268197292107	False	
cell88	88	7	clone7	73.48032571726169	0.2959306601935228	False	
cell89	89	3	clone3	125.90835043540822	0.153998132543978	False	
cell90	90	3	clone3	107.24197066962623	0.15048275479557766	False	
cell91	91	3	clone3	91.47801381494213	0.20328676157233336	False	
cell92	92	3	clone3	94.64329878840968	0.24545326319117305	False	
cell93	93	3	clone3	79.03269390037595	0.192208891203623	False	
cell94	94	0	clone0	109.18355562856087	0.28297503927435574	False	
cell95	95	3	clone3	83.8069730666241	0.24634901358291106	False	
cell96	96	3	clone3	66.83935442020211	0.24526850187806415	False	
cell97	97	3	clone3	65.82037882351139	0.2254041850578356	False	
cell98	98	3	clone3	100.76048979116447	0.3793788254157024	False	
cell99	99	3	clone3	152.26767105602337	0.18036835477388027	False	
cell100	100	3	clone3	100.38858811642855	0.10638597503257334	False	
cell101	101	3	clone3	92.50417936907671	0.306793240548965	False	
cell102	102	8	clone8	104.16629034324754	0.16748036154974222	False	
cell103	103	3	clone3	140.53712720146564	0.1977291060341015	False	
cell104	104	3	clone3	102.15419098339972	0.2813672383329551	False	
cell105	105	4	clone4	84.89790221819972	0.11968563535374846	False	
cell106	106	7	clone7	132.53461692389462	0.13266066642207713	False	
cell107	107	4	clone4	108.6299595988587	0.11972012893900731	False	
cell108	108	8	clone8	150.3428645305321	0.1517298395376056	False	
cell109	109	4	clone4	101.07589888576926	0.21795495373709986	False	
cell110	110	0	clone0	66.86166240060477	0.2234324877837299	False	
cell111	111	3	clone3	64.09997696199963	0.2077492183506479	False	
cell112	112	4	clone4	155.512850441392	0.12653215047382352	False	
cell113	113	3	clone3	158.869212444838	0.0972294527655432	False	
cell114	114	3	clone3	90.86561070643373	0.19464639969143818	False	
cell115	115	3	clone3	85.59207718096727	0.16678970494909548	False	
cell116	116	8	clone8	147.09865417103532	0.21922223342212002	False	
cell117	117	8	clone8	69.2066244885887	0.23540190587712337	False	
cell118	118	3	clone3	73.657423703898	0.19949929961958554	False	
cell119	119	4	clone4	115.69259097952752	0.23945690785638857	False	
cell120	120	4	clone4	85.30566870309104	0.20489873804256792	False	
cell121	121	3	clone3	95.63872016755347	0.2238182893545411	False	
cell122	122	3	clone3	91.29545255126503	0.1557674777649787	False	
cell123	123	3	clone3	105.76079048711682	0.18172630266439885	False	
cell124	124	4	clone4	144.78679004281864	0.20295701015540013	False	
cell125	125	3	clone3	98.36386170319703	0.24374026456214096	False	
cell126	126	8	clone8	115.71337800845176	0.1706546136271871	False	
cell127	127	3	clone3	52.46949947781085	0.22323445249489118	False	
cell128	128	8	clone8	94.42251445737826	0.1771840073042226	False	
cell129	129	3	clone3	74.77939207182936	0.1850679019332682	False	
cell130	130	4	clone4	66.97276965140196	0.24438441160625293	False	
cell131	131	3	clone3	74.01668909069258	0.10671321047060088	False	
cell132	132	3	clone3	86.83379888174372	0.1309264362549936	False	
cell133	133	4	clone4	125.3304733592969	0.12397967130752191	False	
cell134	134	8	clone8	64.89074364596064	0.09656064778154158	False	
cell135	135	5	clone5	96.64780846628031	0.15697977135459448	False	
cell136	136	3	clone3	83.09199565798994	0.23870598783560554	False	
cell137	137	3	clone3	86.99838019476127	0.17619614661292435	False	
cell138	138	3	clone3	128.56714606337655	0.20301743252984672	False	
cell139	139	3	clone3	112.17394082064622	0.2637441804236761	False	
cell140	140	3	clone3	141.83840738336116	0.2828691895051263	False	
cell141	141	3	clone3	91.53529101531889	0.18771640879407922	False	
cell142	142	4	clone4	78.08360884521734	0.2850280810630888	False	
cell143	143	5	clone5	89.69053621910166	0.19681678196848942	False	
cell144	144	4	clone4	102.84970911706176	0.14981505673655934	False	
cell145	145	0	clone0	100.87844527733357	0.1608924494034075	False	
cell146	146	3	clone3	69.66847808463544	0.12403969785562506	False	
cell147	147	3	clone3	98.36111492958273	0.14760025023699527	False	
cell148	148	3	clone3	102.41980816494554	0.17245373605427297	False	
cell149	149	5	clone5	200.55970259452974	0.2425309282553879	False	
cell150	150	3	clone3	166.17618046872616	0.3174684243735388	False	
cell151	151	3	clone3	74.55990500637292	0.1276733167572643	False	
cell152	152	3	clone3	88.03345998152238	0.2149804511206321	False	
cell153	153	3	clone3	62.33186357255794	0.14114193920530868	False	
cell154	154	3	clone3	80.53349322878204	0.22020981044504212	False	
cell155	155	7	clone7	105.08089292995363	0.18433351005161347	False	
cell156	156	3	clone3	136.46554757995906	0.11191583436357222	False	
cell157	157	3	clone3	77.32762069796692	0.25157464263069323	False	
cell158	158	5	clone5	79.04757298154094	0.16039255509795614	False	
cell159	159	3	clone3	50.9947331604213	0.16377549580878134	False	
cell160	160	0	clone0	91.31627850150747	0.1399368983471633	False	
cell161	161	3	clone3	70.11933387665776	0.15808879543865925	False	
cell162	162	3	clone3	81.99505157541472	0.2172046938291268	False	
cell163	163	3	clone3	74.04475852677531	0.1812131346366674	False	
cell164	164	3	clone3	93.16849114584052	0.2109688854856187	False	
cell165	165	7	clone7	57.173009478247856	0.21303882692084686	False	
cell166	166	3	clone3	62.26596568417854	0.28228648367850007	False	
cell167	167	3	clone3	178.95670901337314	0.1732265171941495	False	
cell168	168	3	clone3	65.63736201326216	0.12417372307577516	False	
cell169	169	3	clone3	69.41538629966034	0.26204670093915877	False	
cell170	170	5	clone5	164.23960534886146	0.17380200081314254	False	
cell171	171	8	clone8	224.72871366446827	0.2657161673683369	False	
cell172	172	3	clone3	67.90813215542288	0.2143848681726993	False	
cell173	173	3	clone3	85.96824934910677	0.18433075682817734	False	
cell174	174	3	clone3	105.88446161922764	0.21221826610539937	False	
cell175	175	3	clone3	159.10406323557325	0.33966794410926354	False	
cell176	176	8	clone8	71.69200246120113	0.3524637253488394	False	
cell177	177	3	clone3	89.12835131156864	0.1955069777818026	False	
cell178	178	3	clone3	120.33467888466619	0.20078890448605205	False	
cell179	179	3	clone3	108.82177274634569	0.2627413234592431	False	
cell180	180	7	clone7	85.768929936153	0.14945210071931034	False	
cell181	181	3	clone3	92.09274965728449	0.21124208188137197	False	
cell182	182	3	clone3	63.973338011507266	0.19011634197980068	False	
cell183	183	3	clone3	89.31442091628531	0.21005712804255885	False	
cell184	184	3	clone3	88.57773475394146	0.14999237443926602	False	
cell185	185	3	clone3	102.53838524883673	0.12013240173275218	False	
cell186	186	3	clone3	81.37428133152066	0.1042386221698238	False	
cell187	187	3	clone3	110.00285998932115	0.13799380798777136	False	
cell188	188	3	clone3	128.94353268136626	0.16743238997628176	False	
cell189	189	3	clone3	100.25422703526354	0.17576697025143836	False	
cell190	190	3	clone3	106.20201502588908	0.338296534911736	False	
cell191	191	8	clone8	97.28897192956326	0.26504625329712067	False	
cell192	192	4	clone4	95.78500151516734	0.14443024905069	False	
cell193	193	3	clone3	77.49864775773368	0.21215177611337893	False	
cell194	194	3	clone3	105.10832797665091	0.16998776723108136	False	
cell195	195	7	clone7	93.08581849269945	0.17622305706652663	False	
cell196	196	3	clone3	177.07132550961256	0.20227593626296303	False	
cell197	197	3	clone3	152.01147321385673	0.22975019875358893	False	
cell198	198	7	clone7	107.27016922317284	0.1734060005938951	False	
cell199	199	3	clone3	76.56024705087292	0.26178751880523055	False	
