chrom	start	end	cell	BAF
chr1	0	500000	cell83	0.27857
chr1	0	500000	cell84	0.31034
chr1	0	500000	cell85	0.28302
chr1	0	500000	cell86	0.32039
chr1	0	500000	cell87	0.39024
chr1	0	500000	cell88	0.33526
chr1	0	500000	cell89	0.46226
chr1	0	500000	cell90	0.32903
chr1	0	500000	cell91	0.35417
chr1	0	500000	cell92	0.32576
chr1	0	500000	cell93	0.34586
chr1	0	500000	cell94	0.5
chr1	0	500000	cell95	0.34074
chr1	0	500000	cell96	0.40357
chr1	0	500000	cell97	0.32479
chr1	0	500000	cell98	0.46667
chr1	0	500000	cell99	0.40367
chr1	500000	1000000	cell0	0.3758
chr1	500000	1000000	cell1	0.31008
chr1	500000	1000000	cell2	0.31667
chr1	500000	1000000	cell3	0.46809
chr1	500000	1000000	cell4	0.36691
chr1	500000	1000000	cell5	0.43478
chr1	500000	1000000	cell6	0.35
chr1	500000	1000000	cell7	0.44706
chr1	500000	1000000	cell8	0.47692
chr1	500000	1000000	cell9	0.43182
chr1	500000	1000000	cell10	0.36508
chr1	500000	1000000	cell11	0.32941
chr1	500000	1000000	cell12	0.35135
chr1	500000	1000000	cell13	0.32609
chr1	500000	1000000	cell14	0.36054
chr1	500000	1000000	cell15	0.36975
chr1	500000	1000000	cell16	0.30085
chr1	500000	1000000	cell17	0.42188
chr1	500000	1000000	cell18	0.34343
chr1	500000	1000000	cell19	0.29487
chr1	500000	1000000	cell20	0.43662
chr1	500000	1000000	cell21	0.26316
chr1	500000	1000000	cell22	0.31008
chr1	500000	1000000	cell23	0.35099
chr1	500000	1000000	cell24	0.35885
chr1	500000	1000000	cell25	0.32237
chr1	500000	1000000	cell26	0.36
chr1	500000	1000000	cell27	0.24242
chr1	500000	1000000	cell28	0.37008
chr1	500000	1000000	cell29	0.35106
chr1	500000	1000000	cell30	0.31068
chr1	500000	1000000	cell31	0.33333
chr1	500000	1000000	cell32	0.47297
chr1	500000	1000000	cell33	0.48413
chr1	500000	1000000	cell34	0.29167
chr1	500000	1000000	cell35	0.28682
chr1	500000	1000000	cell36	0.37008
chr1	500000	1000000	cell37	0.44872
chr1	500000	1000000	cell38	0.28977
chr1	500000	1000000	cell39	0.26389
chr1	500000	1000000	cell40	0.36683
chr1	500000	1000000	cell41	0.30841
chr1	500000	1000000	cell42	0.34615
chr1	500000	1000000	cell43	0.33028
chr1	500000	1000000	cell44	0.36242
chr1	500000	1000000	cell45	0.35115
chr1	500000	1000000	cell46	0.43939
chr1	500000	1000000	cell47	0.34899
chr1	500000	1000000	cell48	0.36364
chr1	500000	1000000	cell49	0.34843
chr1	500000	1000000	cell50	0.33624
chr1	500000	1000000	cell51	0.37273
chr1	500000	1000000	cell52	0.42857
chr1	500000	1000000	cell53	0.34066
chr1	500000	1000000	cell54	0.5
chr1	500000	1000000	cell55	0.32653
chr1	500000	1000000	cell56	0.34158
chr1	500000	1000000	cell57	0.30172
chr1	500000	1000000	cell58	0.38136
chr1	500000	1000000	cell59	0.48
chr1	500000	1000000	cell60	0.33621
chr1	500000	1000000	cell61	0.40659
chr1	500000	1000000	cell62	0.45349
chr1	500000	1000000	cell63	0.23404
chr1	500000	1000000	cell64	0.34043
chr1	500000	1000000	cell65	0.2907
chr1	500000	1000000	cell66	0.29114
chr1	500000	1000000	cell67	0.32836
chr1	500000	1000000	cell68	0.27711
chr1	500000	1000000	cell69	0.29762
chr1	500000	1000000	cell70	0.30392
chr1	500000	1000000	cell71	0.31879
chr1	500000	1000000	cell72	0.3
chr1	500000	1000000	cell73	0.44444
chr1	500000	1000000	cell74	0.37063
chr1	500000	1000000	cell75	0.34348
chr1	500000	1000000	cell76	0.41667
chr1	500000	1000000	cell77	0.32192
chr1	500000	1000000	cell78	0.32653
chr1	500000	1000000	cell79	0.3
chr1	500000	1000000	cell80	0.30435
chr1	500000	1000000	cell81	0.31298
chr1	500000	1000000	cell82	0.49254
chr1	500000	1000000	cell83	0.24031
chr1	500000	1000000	cell84	0.25664
chr1	500000	1000000	cell85	0.33113
chr1	500000	1000000	cell86	0.33333
chr1	500000	1000000	cell87	0.30769
chr1	500000	1000000	cell88	0.38378
chr1	500000	1000000	cell89	0.40517
chr1	500000	1000000	cell90	0.35374
chr1	500000	1000000	cell91	0.35088
chr1	500000	1000000	cell92	0.34146
chr1	500000	1000000	cell93	0.25243
chr1	500000	1000000	cell94	0.49057
chr1	500000	1000000	cell95	0.30435
chr1	500000	1000000	cell96	0.34058
chr1	500000	1000000	cell97	0.33937
chr1	500000	1000000	cell98	0.42718
chr1	500000	1000000	cell99	0.29412
chr1	1000000	1500000	cell0	0.3741
chr1	1000000	1500000	cell1	0.29412
chr1	1000000	1500000	cell2	0.30675
chr1	1000000	1500000	cell3	0.43885
chr1	1000000	1500000	cell4	0.40426
chr1	1000000	1500000	cell5	0.5
chr1	1000000	1500000	cell6	0.295
chr1	1000000	1500000	cell7	0.46154
chr1	1000000	1500000	cell8	0.44444
chr1	1000000	1500000	cell9	0.44231
chr1	1000000	1500000	cell10	0.31915
chr1	1000000	1500000	cell11	0.27273
chr1	1000000	1500000	cell12	0.31064
chr1	1000000	1500000	cell13	0.28112
chr1	1000000	1500000	cell14	0.375
chr1	1000000	1500000	cell15	0.36134
chr1	1000000	1500000	cell16	0.26904
chr1	1000000	1500000	cell17	0.47059
chr1	1000000	1500000	cell18	0.27778
chr1	1000000	1500000	cell19	0.33702
chr1	1000000	1500000	cell20	0.2782
chr1	1000000	1500000	cell21	0.37342
chr1	1000000	1500000	cell22	0.37908
chr1	1000000	1500000	cell23	0.27673
chr1	1000000	1500000	cell24	0.33333
chr1	1000000	1500000	cell25	0.33553
chr1	1000000	1500000	cell26	0.26415
chr1	1000000	1500000	cell27	0.25882
chr1	1000000	1500000	cell28	0.28
chr1	1000000	1500000	cell29	0.39831
chr1	1000000	1500000	cell30	0.32222
chr1	1000000	1500000	cell31	0.36429
chr1	1000000	1500000	cell32	0.47368
chr1	1000000	1500000	cell33	0.43307
chr1	1000000	1500000	cell34	0.23276
chr1	1000000	1500000	cell35	0.36913
chr1	1000000	1500000	cell36	0.34328
chr1	1000000	1500000	cell37	0.45349
chr1	1000000	1500000	cell38	0.34595
chr1	1000000	1500000	cell39	0.28333
chr1	1000000	1500000	cell40	0.33654
chr1	1000000	1500000	cell41	0.41135
chr1	1000000	1500000	cell42	0.27778
chr1	1000000	1500000	cell43	0.31852
chr1	1000000	1500000	cell44	0.33728
chr1	1000000	1500000	cell45	0.26708
chr1	1000000	1500000	cell46	0.46875
chr1	1000000	1500000	cell47	0.34483
chr1	1000000	1500000	cell48	0.26994
chr1	1000000	1500000	cell49	0.30599
chr1	1000000	1500000	cell50	0.319
chr1	1000000	1500000	cell51	0.26786
chr1	1000000	1500000	cell52	0.45882
chr1	1000000	1500000	cell53	0.37634
chr1	1000000	1500000	cell54	0.43056
chr1	1000000	1500000	cell55	0.37013
chr1	1000000	1500000	cell56	0.36036
chr1	1000000	1500000	cell57	0.42241
chr1	1000000	1500000	cell58	0.37121
chr1	1000000	1500000	cell59	0.43636
chr1	1000000	1500000	cell60	0.33333
chr1	1000000	1500000	cell61	0.35455
chr1	1000000	1500000	cell62	0.27559
chr1	1000000	1500000	cell63	0.37815
chr1	1000000	1500000	cell64	0.32716
chr1	1000000	1500000	cell65	0.34653
chr1	1000000	1500000	cell66	0.26923
chr1	1000000	1500000	cell67	0.32234
chr1	1000000	1500000	cell68	0.35955
chr1	1000000	1500000	cell69	0.37363
chr1	1000000	1500000	cell70	0.35
chr1	1000000	1500000	cell71	0.36418
chr1	1000000	1500000	cell72	0.37143
chr1	1000000	1500000	cell73	0.49333
chr1	1000000	1500000	cell74	0.25146
chr1	1000000	1500000	cell75	0.32787
chr1	1000000	1500000	cell76	0.32323
chr1	1000000	1500000	cell77	0.3931
chr1	1000000	1500000	cell78	0.3641
chr1	1000000	1500000	cell79	0.30189
chr1	1000000	1500000	cell80	0.29787
chr1	1000000	1500000	cell81	0.36765
chr1	1000000	1500000	cell82	0.35714
chr1	1000000	1500000	cell83	0.36301
chr1	1000000	1500000	cell84	0.29323
chr1	1000000	1500000	cell85	0.30719
chr1	1000000	1500000	cell86	0.34483
chr1	1000000	1500000	cell87	0.31788
chr1	1000000	1500000	cell88	0.31443
chr1	1000000	1500000	cell89	0.49462
chr1	1000000	1500000	cell90	0.31847
chr1	1000000	1500000	cell91	0.36601
chr1	1000000	1500000	cell92	0.32215
chr1	1000000	1500000	cell93	0.31193
chr1	1000000	1500000	cell94	0.49495
chr1	1000000	1500000	cell95	0.35461
chr1	1000000	1500000	cell96	0.35547
chr1	1000000	1500000	cell97	0.30522
chr1	1000000	1500000	cell98	0.46552
chr1	1000000	1500000	cell99	0.33058
chr1	1500000	2000000	cell0	0.33577
chr1	1500000	2000000	cell1	0.34132
chr1	1500000	2000000	cell2	0.34715
chr1	1500000	2000000	cell3	0.45455
chr1	1500000	2000000	cell4	0.31111
chr1	1500000	2000000	cell5	0.48214
chr1	1500000	2000000	cell6	0.34951
chr1	1500000	2000000	cell7	0.49138
chr1	1500000	2000000	cell8	0.4507
chr1	1500000	2000000	cell9	0.49474
chr1	1500000	2000000	cell10	0.29032
chr1	1500000	2000000	cell11	0.35714
chr1	1500000	2000000	cell12	0.33585
chr1	1500000	2000000	cell13	0.34553
chr1	1500000	2000000	cell14	0.375
chr1	1500000	2000000	cell15	0.26923
chr1	1500000	2000000	cell16	0.29258
chr1	1500000	2000000	cell17	0.41429
chr1	1500000	2000000	cell18	0.3209
chr1	1500000	2000000	cell19	0.29082
chr1	1500000	2000000	cell20	0.36029
chr1	1500000	2000000	cell21	0.32414
chr1	1500000	2000000	cell22	0.35032
chr1	1500000	2000000	cell23	0.36747
chr1	1500000	2000000	cell24	0.38462
chr1	1500000	2000000	cell25	0.30612
chr1	1500000	2000000	cell26	0.34054
chr1	1500000	2000000	cell27	0.29885
chr1	1500000	2000000	cell28	0.36257
chr1	1500000	2000000	cell29	0.37692
chr1	1500000	2000000	cell30	0.38
chr1	1500000	2000000	cell31	0.34167
chr1	1500000	2000000	cell32	0.43137
chr1	1500000	2000000	cell33	0.45865
chr1	1500000	2000000	cell34	0.29412
chr1	1500000	2000000	cell35	0.34756
chr1	1500000	2000000	cell36	0.3037
chr1	1500000	2000000	cell37	0.47423
chr1	1500000	2000000	cell38	0.34359
chr1	1500000	2000000	cell39	0.35099
chr1	1500000	2000000	cell40	0.3348
chr1	1500000	2000000	cell41	0.28485
chr1	1500000	2000000	cell42	0.32479
chr1	1500000	2000000	cell43	0.37984
chr1	1500000	2000000	cell44	0.31126
chr1	1500000	2000000	cell45	0.33333
chr1	1500000	2000000	cell46	0.425
chr1	1500000	2000000	cell47	0.28966
chr1	1500000	2000000	cell48	0.32099
chr1	1500000	2000000	cell49	0.31546
chr1	1500000	2000000	cell50	0.31559
chr1	1500000	2000000	cell51	0.44545
chr1	1500000	2000000	cell52	0.47788
chr1	1500000	2000000	cell53	0.32039
chr1	1500000	2000000	cell54	0.44
chr1	1500000	2000000	cell55	0.29221
chr1	1500000	2000000	cell56	0.31624
chr1	1500000	2000000	cell57	0.42063
chr1	1500000	2000000	cell58	0.34167
chr1	1500000	2000000	cell59	0.44898
chr1	1500000	2000000	cell60	0.3125
chr1	1500000	2000000	cell61	0.33077
chr1	1500000	2000000	cell62	0.38281
chr1	1500000	2000000	cell63	0.27434
chr1	1500000	2000000	cell64	0.29231
chr1	1500000	2000000	cell65	0.31579
chr1	1500000	2000000	cell66	0.34653
chr1	1500000	2000000	cell67	0.32
chr1	1500000	2000000	cell68	0.31405
chr1	1500000	2000000	cell69	0.32927
chr1	1500000	2000000	cell70	0.36531
chr1	1500000	2000000	cell71	0.32565
chr1	1500000	2000000	cell72	0.28829
chr1	1500000	2000000	cell73	0.42157
chr1	1500000	2000000	cell74	0.3494
chr1	1500000	2000000	cell75	0.33333
chr1	1500000	2000000	cell76	0.37838
chr1	1500000	2000000	cell77	0.28689
chr1	1500000	2000000	cell78	0.35821
chr1	1500000	2000000	cell79	0.32973
chr1	1500000	2000000	cell80	0.3522
chr1	1500000	2000000	cell81	0.37086
chr1	1500000	2000000	cell82	0.49254
chr1	1500000	2000000	cell83	0.36
chr1	1500000	2000000	cell84	0.39161
chr1	1500000	2000000	cell85	0.3522
chr1	1500000	2000000	cell86	0.27559
chr1	1500000	2000000	cell87	0.35829
chr1	1500000	2000000	cell88	0.29167
chr1	1500000	2000000	cell89	0.5
chr1	1500000	2000000	cell90	0.26452
chr1	1500000	2000000	cell91	0.30464
chr1	1500000	2000000	cell92	0.34641
chr1	1500000	2000000	cell93	0.33051
chr1	1500000	2000000	cell94	0.44954
chr1	1500000	2000000	cell95	0.48718
chr1	1500000	2000000	cell96	0.34783
chr1	1500000	2000000	cell97	0.3066
chr1	1500000	2000000	cell98	0.48673
chr1	1500000	2000000	cell99	0.30435
chr1	2000000	2500000	cell0	0.30769
chr1	2000000	2500000	cell1	0.32824
chr1	2000000	2500000	cell2	0.25843
chr1	2000000	2500000	cell3	0.45395
chr1	2000000	2500000	cell4	0.27972
chr1	2000000	2500000	cell5	0.38776
chr1	2000000	2500000	cell6	0.30102
chr1	2000000	2500000	cell7	0.48305
chr1	2000000	2500000	cell8	0.46711
chr1	2000000	2500000	cell9	0.46729
chr1	2000000	2500000	cell10	0.33019
chr1	2000000	2500000	cell11	0.26923
chr1	2000000	2500000	cell12	0.28261
chr1	2000000	2500000	cell13	0.36214
chr1	2000000	2500000	cell14	0.30935
chr1	2000000	2500000	cell15	0.328
chr1	2000000	2500000	cell16	0.33195
chr1	2000000	2500000	cell17	0.47761
chr1	2000000	2500000	cell18	0.25362
chr1	2000000	2500000	cell19	0.34807
chr1	2000000	2500000	cell20	0.41139
chr1	2000000	2500000	cell21	0.36424
chr1	2000000	2500000	cell22	0.30882
chr1	2000000	2500000	cell23	0.37576
chr1	2000000	2500000	cell24	0.33333
chr1	2000000	2500000	cell25	0.36905
chr1	2000000	2500000	cell26	0.34659
chr1	2000000	2500000	cell27	0.48837
chr1	2000000	2500000	cell28	0.30667
chr1	2000000	2500000	cell29	0.30159
chr1	2000000	2500000	cell30	0.3
chr1	2000000	2500000	cell31	0.35514
chr1	2000000	2500000	cell32	0.42424
chr1	2000000	2500000	cell33	0.44954
chr1	2000000	2500000	cell34	0.34409
chr1	2000000	2500000	cell35	0.33582
chr1	2000000	2500000	cell36	0.36719
chr1	2000000	2500000	cell37	0.42169
chr1	2000000	2500000	cell38	0.27027
chr1	2000000	2500000	cell39	0.31553
chr1	2000000	2500000	cell40	0.25926
chr1	2000000	2500000	cell41	0.41791
chr1	2000000	2500000	cell42	0.35433
chr1	2000000	2500000	cell43	0.35802
chr1	2000000	2500000	cell44	0.30128
chr1	2000000	2500000	cell45	0.33544
chr1	2000000	2500000	cell46	0.45714
chr1	2000000	2500000	cell47	0.39726
chr1	2000000	2500000	cell48	0.39869
chr1	2000000	2500000	cell49	0.39427
chr1	2000000	2500000	cell50	0.3405
chr1	2000000	2500000	cell51	0.28302
chr1	2000000	2500000	cell52	0.47674
chr1	2000000	2500000	cell53	0.3125
chr1	2000000	2500000	cell54	0.49315
chr1	2000000	2500000	cell55	0.27027
chr1	2000000	2500000	cell56	0.33929
chr1	2000000	2500000	cell57	0.28689
chr1	2000000	2500000	cell58	0.41176
chr1	2000000	2500000	cell59	0.46809
chr1	2000000	2500000	cell60	0.38849
chr1	2000000	2500000	cell61	0.31092
chr1	2000000	2500000	cell62	0.26154
chr1	2000000	2500000	cell63	0.2971
chr1	2000000	2500000	cell64	0.31944
chr1	2000000	2500000	cell65	0.38356
chr1	2000000	2500000	cell66	0.28
chr1	2000000	2500000	cell67	0.375
chr1	2000000	2500000	cell68	0.24561
chr1	2000000	2500000	cell69	0.26214
chr1	2000000	2500000	cell70	0.32927
chr1	2000000	2500000	cell71	0.34615
chr1	2000000	2500000	cell72	0.36792
chr1	2000000	2500000	cell73	0.49367
chr1	2000000	2500000	cell74	0.30387
chr1	2000000	2500000	cell75	0.34848
chr1	2000000	2500000	cell76	0.30645
chr1	2000000	2500000	cell77	0.36066
chr1	2000000	2500000	cell78	0.27374
chr1	2000000	2500000	cell79	0.31646
chr1	2000000	2500000	cell80	0.33582
chr1	2000000	2500000	cell81	0.35507
chr1	2000000	2500000	cell82	0.46667
chr1	2000000	2500000	cell83	0.32836
chr1	2000000	2500000	cell84	0.36923
chr1	2000000	2500000	cell85	0.25974
chr1	2000000	2500000	cell86	0.30328
chr1	2000000	2500000	cell87	0.32515
chr1	2000000	2500000	cell88	0.27381
chr1	2000000	2500000	cell89	0.47273
chr1	2000000	2500000	cell90	0.31111
chr1	2000000	2500000	cell91	0.34911
chr1	2000000	2500000	cell92	0.37162
chr1	2000000	2500000	cell93	0.375
chr1	2000000	2500000	cell94	0.47826
chr1	2000000	2500000	cell95	0.32895
chr1	2000000	2500000	cell96	0.29934
chr1	2000000	2500000	cell97	0.41463
chr1	2000000	2500000	cell98	0.44094
chr1	2000000	2500000	cell99	0.27731
chr1	2500000	3000000	cell0	0.33125
chr1	2500000	3000000	cell1	0.28889
chr1	2500000	3000000	cell2	0.35862
chr1	2500000	3000000	cell3	0.44444
chr1	2500000	3000000	cell4	0.35404
chr1	2500000	3000000	cell5	0.45455
chr1	2500000	3000000	cell6	0.31019
chr1	2500000	3000000	cell7	0.44828
chr1	2500000	3000000	cell8	0.48503
chr1	2500000	3000000	cell9	0.46296
chr1	2500000	3000000	cell10	0.29474
chr1	2500000	3000000	cell11	0.29545
chr1	2500000	3000000	cell12	0.33906
chr1	2500000	3000000	cell13	0.375
chr1	2500000	3000000	cell14	0.30769
chr1	2500000	3000000	cell15	0.34815
chr1	2500000	3000000	cell16	0.41631
chr1	2500000	3000000	cell17	0.38889
chr1	2500000	3000000	cell18	0.38655
chr1	2500000	3000000	cell19	0.33333
chr1	2500000	3000000	cell20	0.31579
chr1	2500000	3000000	cell21	0.28873
chr1	2500000	3000000	cell22	0.33333
chr1	2500000	3000000	cell23	0.33333
chr1	2500000	3000000	cell24	0.30472
chr1	2500000	3000000	cell25	0.37931
chr1	2500000	3000000	cell26	0.34637
chr1	2500000	3000000	cell27	0.35135
chr1	2500000	3000000	cell28	0.35606
chr1	2500000	3000000	cell29	0.32203
chr1	2500000	3000000	cell30	0.35185
chr1	2500000	3000000	cell31	0.36082
chr1	2500000	3000000	cell32	0.45122
chr1	2500000	3000000	cell33	0.48333
chr1	2500000	3000000	cell34	0.31461
chr1	2500000	3000000	cell35	0.39394
chr1	2500000	3000000	cell36	0.31707
chr1	2500000	3000000	cell37	0.46988
chr1	2500000	3000000	cell38	0.36058
chr1	2500000	3000000	cell39	0.30857
chr1	2500000	3000000	cell40	0.32599
chr1	2500000	3000000	cell41	0.33333
chr1	2500000	3000000	cell42	0.27523
chr1	2500000	3000000	cell43	0.38926
chr1	2500000	3000000	cell44	0.27972
chr1	2500000	3000000	cell45	0.25658
chr1	2500000	3000000	cell46	0.46053
chr1	2500000	3000000	cell47	0.3986
chr1	2500000	3000000	cell48	0.29054
chr1	2500000	3000000	cell49	0.28829
chr1	2500000	3000000	cell50	0.33457
chr1	2500000	3000000	cell51	0.3719
chr1	2500000	3000000	cell52	0.4086
chr1	2500000	3000000	cell53	0.34375
chr1	2500000	3000000	cell54	0.38571
chr1	2500000	3000000	cell55	0.36875
chr1	2500000	3000000	cell56	0.39367
chr1	2500000	3000000	cell57	0.32812
chr1	2500000	3000000	cell58	0.37903
chr1	2500000	3000000	cell59	0.45312
chr1	2500000	3000000	cell60	0.416
chr1	2500000	3000000	cell61	0.2521
chr1	2500000	3000000	cell62	0.35772
chr1	2500000	3000000	cell63	0.29323
chr1	2500000	3000000	cell64	0.33333
chr1	2500000	3000000	cell65	0.41176
chr1	2500000	3000000	cell66	0.44118
chr1	2500000	3000000	cell67	0.29502
chr1	2500000	3000000	cell68	0.39583
chr1	2500000	3000000	cell69	0.31452
chr1	2500000	3000000	cell70	0.324
chr1	2500000	3000000	cell71	0.30618
chr1	2500000	3000000	cell72	0.35088
chr1	2500000	3000000	cell73	0.49438
chr1	2500000	3000000	cell74	0.4
chr1	2500000	3000000	cell75	0.30435
chr1	2500000	3000000	cell76	0.45833
chr1	2500000	3000000	cell77	0.28889
chr1	2500000	3000000	cell78	0.31959
chr1	2500000	3000000	cell79	0.35099
chr1	2500000	3000000	cell80	0.35172
chr1	2500000	3000000	cell81	0.40876
chr1	2500000	3000000	cell82	0.48684
chr1	2500000	3000000	cell83	0.352
chr1	2500000	3000000	cell84	0.29655
chr1	2500000	3000000	cell85	0.3481
chr1	2500000	3000000	cell86	0.36
chr1	2500000	3000000	cell87	0.29299
chr1	2500000	3000000	cell88	0.28774
chr1	2500000	3000000	cell89	0.45192
chr1	2500000	3000000	cell90	0.36932
chr1	2500000	3000000	cell91	0.31507
chr1	2500000	3000000	cell92	0.35256
chr1	2500000	3000000	cell93	0.38793
chr1	2500000	3000000	cell94	0.49153
chr1	2500000	3000000	cell95	0.30488
chr1	2500000	3000000	cell96	0.32765
chr1	2500000	3000000	cell97	0.35443
chr1	2500000	3000000	cell98	0.41284
chr1	2500000	3000000	cell99	0.33333
chr1	3000000	3500000	cell0	0.36478
chr1	3000000	3500000	cell1	0.24359
chr1	3000000	3500000	cell2	0.38312
chr1	3000000	3500000	cell3	0.4898
chr1	3000000	3500000	cell4	0.32258
chr1	3000000	3500000	cell5	0.46341
chr1	3000000	3500000	cell6	0.29412
chr1	3000000	3500000	cell7	0.47273
chr1	3000000	3500000	cell8	0.46154
chr1	3000000	3500000	cell9	0.49485
chr1	3000000	3500000	cell10	0.32
chr1	3000000	3500000	cell11	0.34694
chr1	3000000	3500000	cell12	0.30204
chr1	3000000	3500000	cell13	0.29851
chr1	3000000	3500000	cell14	0.30464
chr1	3000000	3500000	cell15	0.3
chr1	3000000	3500000	cell16	0.30631
chr1	3000000	3500000	cell17	0.32857
chr1	3000000	3500000	cell18	0.33621
chr1	3000000	3500000	cell19	0.36813
chr1	3000000	3500000	cell20	0.3
chr1	3000000	3500000	cell21	0.2875
chr1	3000000	3500000	cell22	0.35433
chr1	3000000	3500000	cell23	0.36207
chr1	3000000	3500000	cell24	0.32057
chr1	3000000	3500000	cell25	0.30282
chr1	3000000	3500000	cell26	0.34031
chr1	3000000	3500000	cell27	0.31461
chr1	3000000	3500000	cell28	0.35526
chr1	3000000	3500000	cell29	0.34188
chr1	3000000	3500000	cell30	0.39785
chr1	3000000	3500000	cell31	0.35238
chr1	3000000	3500000	cell32	0.45122
chr1	3000000	3500000	cell33	0.49265
chr1	3000000	3500000	cell34	0.26087
chr1	3000000	3500000	cell35	0.31953
chr1	3000000	3500000	cell36	0.28889
chr1	3000000	3500000	cell37	0.46364
chr1	3000000	3500000	cell38	0.40404
chr1	3000000	3500000	cell39	0.30539
chr1	3000000	3500000	cell40	0.32189
chr1	3000000	3500000	cell41	0.24419
chr1	3000000	3500000	cell42	0.36607
chr1	3000000	3500000	cell43	0.44681
chr1	3000000	3500000	cell44	0.34132
chr1	3000000	3500000	cell45	0.26087
chr1	3000000	3500000	cell46	0.48101
chr1	3000000	3500000	cell47	0.37415
chr1	3000000	3500000	cell48	0.32432
chr1	3000000	3500000	cell49	0.35669
chr1	3000000	3500000	cell50	0.32601
chr1	3000000	3500000	cell51	0.32237
chr1	3000000	3500000	cell52	0.44595
chr1	3000000	3500000	cell53	0.31111
chr1	3000000	3500000	cell54	0.475
chr1	3000000	3500000	cell55	0.33951
chr1	3000000	3500000	cell56	0.36364
chr1	3000000	3500000	cell57	0.28283
chr1	3000000	3500000	cell58	0.37615
chr1	3000000	3500000	cell59	0.45902
chr1	3000000	3500000	cell60	0.32031
chr1	3000000	3500000	cell61	0.31132
chr1	3000000	3500000	cell62	0.28671
chr1	3000000	3500000	cell63	0.3578
chr1	3000000	3500000	cell64	0.27273
chr1	3000000	3500000	cell65	0.35714
chr1	3000000	3500000	cell66	0.31183
chr1	3000000	3500000	cell67	0.34948
chr1	3000000	3500000	cell68	0.5
chr1	3000000	3500000	cell69	0.40404
chr1	3000000	3500000	cell70	0.29851
chr1	3000000	3500000	cell71	0.34167
chr1	3000000	3500000	cell72	0.3913
chr1	3000000	3500000	cell73	0.47727
chr1	3000000	3500000	cell74	0.32716
chr1	3000000	3500000	cell75	0.28571
chr1	3000000	3500000	cell76	0.2807
chr1	3000000	3500000	cell77	0.40441
chr1	3000000	3500000	cell78	0.33514
chr1	3000000	3500000	cell79	0.34503
chr1	3000000	3500000	cell80	0.40164
chr1	3000000	3500000	cell81	0.32877
chr1	3000000	3500000	cell82	0.46296
chr1	3000000	3500000	cell83	0.25352
chr1	3000000	3500000	cell84	0.3007
chr1	3000000	3500000	cell85	0.33333
