cell	cell_index	clone_assignment	clone	library_size	allelic_coverage	is_doublet	doublet_clones
cell45	45	3	clone3	102.17261101178391	0.201756890554667	False	
cell46	46	5	clone5	142.74858811448823	0.1393369561692708	False	
cell47	47	3	clone3	122.39296732097483	0.1967222298591653	False	
cell48	48	3	clone3	106.36159274709966	0.2048396163298909	False	
cell49	49	3	clone3	147.17893471684874	0.401119405189059	False	
cell50	50	4	clone4	67.5661828952288	0.3323523609374521	False	
cell51	51	3	clone3	79.3823169740306	0.14911981001274577	False	
cell52	52	8	clone8	72.9719669595331	0.17606691996304463	False	
cell53	53	3	clone3	85.42583941004425	0.12466372714511575	False	
cell54	54	8	clone8	63.93972420871187	0.16106698645756398	False	
cell55	55	4	clone4	115.41524957056045	0.21016178585990716	False	
cell56	56	3	clone3	89.73362492550831	0.2729310951599178	False	
cell57	57	4	clone4	62.19725608052701	0.15465524139593378	False	
cell58	58	4	clone4	71.09006239789886	0.15809514596308177	False	
cell59	59	8	clone8	105.01640560524179	0.10198946632084249	False	
cell60	60	3	clone3	122.50135497737185	0.1826325570030147	False	
cell61	61	3	clone3	172.12869359446947	0.14023866775331545	False	
cell62	62	3	clone3	225.30970183234885	0.16399010315082935	False	
cell63	63	3	clone3	108.17340357991831	0.14808951705355053	False	
cell64	64	3	clone3	71.63559964221656	0.18633698229168083	False	
cell65	65	3	clone3	51.22342890626761	0.11434601895649558	False	
cell66	66	3	clone3	103.61383011888374	0.12453193136835695	False	
cell67	67	3	clone3	75.447273017696	0.35791341802674614	False	
cell68	68	3	clone3	84.78756586210825	0.13127472402652418	False	
cell69	69	4	clone4	80.02939217800275	0.1388307725993206	False	
cell70	70	4	clone4	91.90456593521176	0.32847921069772273	False	
cell71	71	3	clone3	130.97558065957753	0.4494574273289362	False	
cell72	72	3	clone3	100.30189367315879	0.13581626431084565	False	
cell73	73	8	clone8	91.42440308038557	0.17193649869821337	False	
cell74	74	3	clone3	70.67235156616744	0.21176892323845506	False	
cell75	75	3	clone3	58.583950543838	0.31820812647114616	False	
cell76	76	3	clone3	83.0398492202831	0.14338400492240216	False	
cell77	77	3	clone3	94.28224707617942	0.17825670262313717	False	
cell78	78	3	clone3	160.94706364973095	0.24066935776933213	False	
cell79	79	4	clone4	99.51663098671014	0.21764354549269116	False	
cell80	80	3	clone3	127.81382608068398	0.1715378598723059	False	
cell81	81	3	clone3	82.72384837803565	0.1841854993145689	False	
cell82	82	7	clone7	67.64198001594399	0.1279466760230144	False	
cell83	83	4	clone4	72.15101082470261	0.17862884183257055	False	
cell84	84	3	clone3	77.41524301239467	0.1771554695078828	False	
cell85	85	3	clone3	178.91587434747015	0.2050767704976733	False	
cell86	86	3	clone3	75.26044912835994	0.1627485626630412	False	
cell87	87	3	clone3	122.51439661640362	0.22000571997864216	False	
cell88	88	3	clone3	73.48032571726169	0.2578870653627325	False	
cell89	89	8	clone8	125.90835043540822	0.20050845407052686	False	
cell90	90	3	clone3	107.24197066962623	0.2124040300517779	False	
cell91	91	3	clone3	91.47801381494213	0.1945779438591264	False	
cell92	92	4	clone4	94.64329878840968	0.19157000303033453	False	
cell93	93	3	clone3	79.03269390037595	0.15499729551546723	False	
cell94	94	8	clone8	109.18355562856087	0.21021665595330166	False	
cell95	95	4	clone4	83.8069730666241	0.18617163698539882	False	
cell96	96	3	clone3	66.83935442020211	0.3541426510192247	False	
cell97	97	3	clone3	65.82037882351139	0.3040229464277132	False	
cell98	98	8	clone8	100.76048979116447	0.21454033844634546	False	
cell99	99	3	clone3	152.26767105602337	0.15312049410174572	False	
